Student ID,Gender,Type of Examinee,Pre-assessment 2025,Anatomy,Physiology,Parasitology,Pharmacology,Pathology,Zootechnics,Microbiology & Public Health,Medicine,Surgery,Post-assessment 2025,Pre-assessment 2025_last,Anatomy_last,Physiology_last,Parasitology_last,Pharmacology_last,Pathology_last,Zootechnics_last,Microbiology & Public Health_last,Medicine_last,Surgery_last,Post-assessment 2025_last,Pre-assessment 2025_best,Anatomy_best,Physiology_best,Parasitology_best,Pharmacology_best,Pathology_best,Zootechnics_best,Microbiology & Public Health_best,Medicine_best,Surgery_best,Post-assessment 2025_best,avg_best_score,max_best_score,avg_first_score,avg_last_score,total_attempts,avg_attempts,avg_improvement,score_std,num_exams,Licensure Exam Result
Student 144,Female,Repeater,52,,,,,40,,,,,,44,,,,,40,,,,,,52,,,,,40,,,,,,46,52,46,42,3,1.5,-4,8.485281374,2,1
Student 145,Female,Repeater,33,58,73,46,45,52,59,60,69,,69,33,60,73,46,45,52,59,60,69,,69,33,60,73,46,45,52,59,60,69,,69,56.6,73,56.4,56.6,12,1.2,0.2,12.60687643,10,1
Student 146,Female,Repeater,48,63,55,59,53,55,63,72,71,67,63,48,79,70,86,68,55,81,75,71,67,63,48,80,92,86,80,55,81,75,71,67,63,72.54545455,92,60.81818182,69.36363636,23,2.090909091,8.545454545,13.35188104,11,1
Student 147,Female,Repeater,43,44,52,82,26,,,,,,,96,44,52,84,26,,,,,,,96,44,52,84,26,,,,,,,60.4,96,49.4,60.4,7,1.4,11,28.92749557,5,0
Student 148,Male,First Taker,,32,31,29,32,28,37,26,,34,,,32,31,32,28,28,23,29,,34,,,32,31,32,32,28,37,29,,34,,31.875,37,31.125,29.625,13,1.625,-1.5,2.799872446,8,1
Student 149,Female,First Taker,38,,,55,42,,,,59,95,,38,,,55,42,,,,59,95,,38,,,55,42,,,,59,95,,57.8,95,57.8,57.8,5,1,0,22.55437873,5,1
Student 150,Female,Repeater,46,37,51,53,54,42,63,60,64,49,66,95,47,92,61,63,42,72,60,64,49,84,95,47,92,61,63,42,72,60,64,49,84,66.27272727,95,53.18181818,66.27272727,21,1.909090909,13.09090909,17.82184563,11,1
Student 151,Male,First Taker,35,54,63,53,49,50,61,64,72,74,,35,54,63,53,49,50,98,64,72,74,,35,54,63,53,49,50,98,64,72,74,,61.2,98,57.5,61.2,11,1.1,3.7,17.4024264,10,1
Student 152,Male,First Taker,45,64,74,,41,,61,67,,,61,45,59,74,,41,,61,67,,,61,45,64,74,,41,,61,67,,,61,59,74,59,58.28571429,8,1.142857143,-0.7142857143,11.8462371,7,1
Student 153,Female,First Taker,,44,,62,60,72,,,,,,,44,,62,60,72,,,,,,,44,,62,60,72,,,,,,59.5,72,59.5,59.5,4,1,0,11.59022577,4,1
Student 154,Male,First Taker,47,66,70,78,57,45,66,79,80,63,71,47,66,70,78,66,61,66,79,80,63,71,47,66,70,78,66,61,66,79,80,63,71,67.90909091,80,65.63636364,67.90909091,13,1.181818182,2.272727273,9.512670976,11,1
Student 155,Male,First Taker,51,57,75,65,71,65,82,80,,77,,51,63,83,77,71,65,82,80,,77,,51,63,83,77,71,65,82,80,,77,,72.11111111,83,69.22222222,72.11111111,12,1.333333333,2.888888889,10.6471175,9,1
Student 156,Female,Repeater,75,,,,,,,,,,,75,,,,,,,,,,,75,,,,,,,,,,,75,75,75,75,1,1,0,0,1,0
Student 157,Female,First Taker,70,65,81,80,65,63,88,75,77,71,85,98,98,86,77,67,63,92,77,77,71,85,98,98,86,80,67,63,93,77,77,71,85,81.36363636,98,74.54545455,81,24,2.181818182,6.454545455,11.8934665,11,1
Student 158,Male,Repeater,43,46,65,62,39,55,69,79,68,59,,85,78,85,80,87,83,89,85,67,67,,85,96,88,80,87,83,89,85,73,67,,83.3,96,58.5,80.6,52,5.2,22.1,8.287205668,10,1
Student 159,Female,Repeater,34,43,53,67,58,60,67,70,,,,50,74,90,67,58,60,67,70,,,,50,74,90,67,58,60,67,70,,,,67,90,56.5,67,11,1.375,10.5,11.98808933,8,1
Student 160,Female,First Taker,67,58,66,68,60,54,75,68,76,66,60,67,83,78,68,64,50,79,73,78,97,60,67,84,82,68,64,58,79,73,78,97,60,73.63636364,97,65.27272727,72.45454545,26,2.363636364,7.181818182,11.70702975,11,1
Student 161,Female,Repeater,43,46,59,62,49,43,59,72,62,66,54,78,58,50,95,80,43,52,72,62,66,74,78,92,99,95,80,43,59,72,62,66,74,74.54545455,99,55.90909091,66.36363636,26,2.363636364,10.45454545,16.84258672,11,1
Student 162,Female,Repeater,46,46,51,,,38,,,56,54,62,85,70,73,,,38,,,56,54,62,85,70,73,,,38,,,56,54,62,62.57142857,85,50.42857143,62.57142857,12,1.714285714,12.14285714,15.20808056,7,0
Student 163,Female,First Taker,37,,,,,,,,,,,37,,,,,,,,,,,37,,,,,,,,,,,37,37,37,37,1,1,0,0,1,0
Student 164,Female,Repeater,89,,,,,,78,,,,,90,,,,,,78,,,,,90,,,,,,78,,,,,84,90,83.5,84,3,1.5,0.5,8.485281374,2,0
Student 165,Female,First Taker,36,44,54,75,61,67,,,,,,98,96,96,75,61,67,,,,,,98,96,96,75,61,67,,,,,,82.16666667,98,56.16666667,82.16666667,18,3,26,16.50959317,6,0
Student 166,Female,Repeater,51,41,50,36,42,41,61,49,58,,64,89,41,50,36,42,41,61,49,66,,64,89,41,50,36,42,41,61,49,66,,64,53.9,89,49.3,53.9,13,1.3,4.6,16.21007917,10,0
Student 167,Female,Repeater,40,37,,,,,,,,,,66,37,,,,,,,,,,66,37,,,,,,,,,,51.5,66,38.5,51.5,3,1.5,13,20.50609665,2,0
Student 168,Female,First Taker,33,,,,,,,,,,,33,,,,,,,,,,,33,,,,,,,,,,,33,33,33,33,1,1,0,0,1,0
Student 169,Female,First Taker,52,58,76,65,65,67,70,78,84,68,80,52,58,76,65,65,67,70,78,84,68,80,52,58,76,65,65,67,70,78,84,68,80,69.36363636,84,69.36363636,69.36363636,12,1.090909091,0,9.60492298,11,1
Student 170,Female,Repeater,40,58,74,,,,58,,,,47,40,77,74,,,,58,,,,47,40,77,74,,,,58,,,,47,59.2,77,55.4,59.2,7,1.4,3.8,16.23884232,5,1
Student 171,Male,First Taker,39,64,75,,,58,,74,80,72,65,39,64,75,,,58,,74,80,72,65,39,64,75,,,58,,74,80,72,65,65.875,80,65.875,65.875,8,1,0,12.95528023,8,1
Student 172,Male,First Taker,,66,69,51,64,,,81,77,,,,90,69,51,67,,,87,77,,,,90,69,51,77,,,87,77,,,75.16666667,90,68,73.5,10,1.666666667,5.5,14.0629537,6,1
